Method command: GET 	 Time: Sat Sep 17 2022 12:43:51 GMT+0300 (שעון ישראל (קיץ)) 	 url: /  
Method command: GET 	 Time: Sat Sep 17 2022 12:43:51 GMT+0300 (שעון ישראל (קיץ)) 	 url: /  
Method command: GET 	 Time: Sat Sep 17 2022 12:44:01 GMT+0300 (שעון ישראל (קיץ)) 	 url: /info  
Method command: GET 	 Time: Sat Sep 17 2022 12:44:06 GMT+0300 (שעון ישראל (קיץ)) 	 url: /  
Method command: GET 	 Time: Sat Sep 17 2022 12:44:23 GMT+0300 (שעון ישראל (קיץ)) 	 url: /  
Method command: GET 	 Time: Sat Sep 17 2022 12:44:50 GMT+0300 (שעון ישראל (קיץ)) 	 url: /  
Method command: GET 	 Time: Sat Sep 17 2022 12:44:54 GMT+0300 (שעון ישראל (קיץ)) 	 url: /  
Method command: GET 	 Time: Sat Sep 17 2022 12:44:55 GMT+0300 (שעון ישראל (קיץ)) 	 url: /  
Method command: GET 	 Time: Sat Sep 17 2022 12:45:07 GMT+0300 (שעון ישראל (קיץ)) 	 url: /  
Method command: GET 	 Time: Sat Sep 17 2022 12:50:42 GMT+0300 (שעון ישראל (קיץ)) 	 url: /  
Method command: GET 	 Time: Sat Sep 17 2022 12:51:23 GMT+0300 (שעון ישראל (קיץ)) 	 url: /  
Method command: GET 	 Time: Sat Sep 17 2022 12:51:24 GMT+0300 (שעון ישראל (קיץ)) 	 url: /  
Method command: GET 	 Time: Sat Sep 17 2022 12:53:42 GMT+0300 (שעון ישראל (קיץ)) 	 url: /info  
Method command: GET 	 Time: Sat Sep 17 2022 12:53:43 GMT+0300 (שעון ישראל (קיץ)) 	 url: /info  
Method command: GET 	 Time: Sat Sep 17 2022 13:00:17 GMT+0300 (שעון ישראל (קיץ)) 	 url: /api/product  
Method command: GET 	 Time: Sat Sep 17 2022 13:08:08 GMT+0300 (שעון ישראל (קיץ)) 	 url: /api/product  
Method command: GET 	 Time: Sat Sep 17 2022 13:15:09 GMT+0300 (שעון ישראל (קיץ)) 	 url: /  
Method command: GET 	 Time: Sat Sep 17 2022 13:15:18 GMT+0300 (שעון ישראל (קיץ)) 	 url: /  
Method command: GET 	 Time: Sat Sep 17 2022 13:15:20 GMT+0300 (שעון ישראל (קיץ)) 	 url: /  
Method command: GET 	 Time: Sat Sep 17 2022 13:15:36 GMT+0300 (שעון ישראל (קיץ)) 	 url: /info  
Method command: GET 	 Time: Sat Sep 17 2022 13:18:18 GMT+0300 (שעון ישראל (קיץ)) 	 url: /info  
Method command: GET 	 Time: Sat Sep 17 2022 13:18:31 GMT+0300 (שעון ישראל (קיץ)) 	 url: /info  
Method command: GET 	 Time: Sat Sep 17 2022 13:18:32 GMT+0300 (שעון ישראל (קיץ)) 	 url: /info  
Method command: GET 	 Time: Sat Sep 17 2022 13:18:33 GMT+0300 (שעון ישראל (קיץ)) 	 url: /info  
Method command: GET 	 Time: Sat Sep 17 2022 13:19:09 GMT+0300 (שעון ישראל (קיץ)) 	 url: /info  
Method command: GET 	 Time: Sat Sep 17 2022 13:19:12 GMT+0300 (שעון ישראל (קיץ)) 	 url: /info  
Method command: GET 	 Time: Sat Sep 17 2022 13:19:17 GMT+0300 (שעון ישראל (קיץ)) 	 url: /info  
Method command: GET 	 Time: Sat Sep 17 2022 13:19:29 GMT+0300 (שעון ישראל (קיץ)) 	 url: /info  
Method command: GET 	 Time: Sat Sep 17 2022 13:19:33 GMT+0300 (שעון ישראל (קיץ)) 	 url: /info  
Method command: GET 	 Time: Sat Sep 17 2022 13:19:34 GMT+0300 (שעון ישראל (קיץ)) 	 url: /info  
